title,description,type,sellPrice,tags,energy,health
Wooden Brazier,Provides a moderate amount of light.,Lighing,,"Wood (10), Coal (1), Fiber (5), Carpenter's Shop, 250g, 1x1",,
Stone Brazier,Provides a moderate amount of light.,Lighing,,"Stone (10), Coal (1), Fiber (5), Carpenter's Shop, 400g, 1x1",,
Gold Brazier,Provides a moderate amount of light.,Lighing,,"Gold Bar (1), Coal (1), Fiber (5), Carpenter's Shop, 1000, 1x1",,
Carved Brazier,Provides a moderate amount of light.,Lighing,,"Hardwood (10), Coal (1), Carpenter's Shop, 2000g, 1x1",,
Stump Brazier,Provides a moderate amount of light.,Lighing,,"Hardwood (5), Coal (1), Carpenter's Shop, 800g, 1x1",,
Barrel Brazier,Provides a moderate amount of light.,Lighing,,"Wood (50), Solar Essence (1), Coal (1), Carpenter's Shop, 800g, 1x1",,
Skull Brazier,Provides a moderate amount of light.,Lighing,,"Hardwood (10), Solar Essence (1), Coal (1), Carpenter's Shop, 3000g, 1x1",,
Marble Brazier,Provides a moderate amount of light.,Lighing,,"Marble (1), Aquamarine (1), Stone (100), Carpenter's Shop, 5000g, 1x1",,
Wood Lamp-post,Provides a good amount of light.,Lighing,,"Wood (50), Battery Pack (1), Carpenter's Shop, 500g, 1x1",,
Iron Lamp-post,Provides a good amount of light.,Lighing,,"Iron Bar (1), Battery Pack (1), Carpenter's Shop, 1000, 1x1",,
Jack-O-Lantern,A whimsical fall decoration.,Lighing,,"Pumpkin (1), Torch (1), Spirit's Eve Festival, 2000g, 1x1",,
Charcoal Kiln,Turns 10 pieces of wood into one piece of coal.,Equipment,,"Wood (20) Copper Bar (2), Foraging Level 4, 1x1",,
Crystalarium,Insert a gem of your choice and it will grow copies.,Equipment,,"Stone (99) Gold Bar (5) Iridium Bar (2) Battery Pack (1), Mining Level 9, 1x1",,
Furnace,Turns ore and coal into metal bars.,Equipment,,"Copper Ore (20) Stone (25), Clint, 1x1",,
Lightning Rod,Collects energy from lightning storms and turns it into battery packs.,Equipment,,"Iron Bar (1) Refined Quartz (1) Bat Wing (5), Foraging Level 6, 1x1",,
Recycling Machine,Turns fishing trash into resources.,Equipment,,"Wood (25) Stone (25) Iron Bar (1), Fishing Level 4, 1x1",,
Seed Maker,Place crops inside to produce a varying amount of seeds. Doesn't work with fruit tree crops.,Equipment,,"Wood (25) Coal (10) Gold Bar (1), Farming Level 9, 1x1",,
Slime Incubator,Hatches slimes eggs into slimes. Allows you to raise slimes outdoors.,Equipment,,"Iridium Bar (2) Slime (100), Combat Level 8, 1x1",,
Slime Egg-Press,Compresses 100 pieces of slime into a slime egg. It's a miracle of science!,Equipment,,"Coal (25) Fire Quartz (1) Battery Pack (1), Combat Level 6, 1x1",,
Tapper,"Place on a maple, oak, or pine tree and wait for the reservoir to fill with product!",Equipment,,"Wood (40) Copper Bar (2), Foraging Level 3",,
Worm Bin,Produces bait on a regular basis. The worms are self-sufficient.,Equipment,,"Hardwood (25) Gold Bar (1) Iron Bar (1) Fiber (50), Fishing Level 8, 1x1",,
Tub o' Flowers,Flowers planted in an oak barrel. Blooms in spring and summer.,Furniture,,"Wood (15) Tulip Bulb (1) Jazz Seeds (1) Poppy Seeds (1) Spangle Seeds (1), Flower Dance, 2000g, 1x1",,
Wicked Statue,There's something unsettling about the looks of this statue.,Furniture,,"Stone (25) Coal (5), Krobus' Shop, 1000g, 1x1",,
Flute Block,Plays a flute sound when you walk past.,Furniture,,"Wood (10) Copper Ore (2) Fiber (20), Robin 6-heart event, 1x1",,
Drum Block,Plays a drum sound when you walk past.,Furniture,,"Stone (10) Copper Ore (2) Fiber (20), Robin 6-heart event, 1x1",,
Chest,A place to store your items.,Misc,,"Wood (50), Starter, 1x1",,
Wood Sign,Use an item on this to change what's displayed. The item won't be consumed.,Misc,,"Wood (25), Starter, 1x1",,
Stone Sign,Use an item on this to change what's displayed. The item won't be consumed.,Misc,,"Stone (25), Starter, 1x1",,
Garden Pot,"Grows crops from any season when indoors. Outdoors, it can only house seasonal crops.",Misc,,"Clay (1) Stone (10) Refined Quartz (1), Greenhouse, 1x1",,
Scarecrow,"Prevents crows from attacking your crops. Has a limited radius (about 8 ""tiles"").",Misc,,"Wood (50) Coal (1) Fiber (20), Farming Level 1, 1x1",,
Deluxe Scarecrow,"Prevents crows from attacking your crops. Has a large radius (about 16 ""tiles"").",Misc,,"Wood (50) Fiber (40) Iridium Ore (1), Collect all rarecrows, 1x1",,
Staircase,Use this to move down a level in Mines.,Misc,,"Stone (99), Mining Level 2",,
Explosive Ammo (5),Fire this with the slingshot.,Misc,,"Iron Bar (1) Coal (2), Combat Level 8",,
Transmute (Fe),A bar of pure iron.,Misc,,"Copper Bar (3), Mining Level 4",,
Transmute (Au),A bar of pure gold.,Misc,,"Iron Bar (2), Mining Level 7",,
Warp Totem Beach,Warp directly to Beach. Consumed on use.,Misc,20,"Hardwood (1) Coral (2) Fiber (10), Foraging Level 6",,
Warp Totem Mountains,Warp directly to the mountains. Consumed on use.,Misc,20,"Hardwood (1) Iron Bar (1) Stone (25), Foraging Level 7",,
Warp Totem Farm,Warp directly to your house. Consumed on use.,Misc,20,"Hardwood (1) Honey (1) Fiber (20), Foraging Level 8",,
Warp Totem Desert,Warp directly to Calico Desert. Consumed on use.,Misc,20,"Hardwood (2) Coconut (1) Iridium Ore (4), Desert Trader, Iridium Bar (10)",,
Rain Totem,Activate to greatly increase the chance for rain tomorrow. Consumed on use.,Misc,20,"Hardwood (1) Truffle Oil (1) Pine Tar (5), Foraging Level 9",,
Mini-Jukebox,Allows you to play your favorite tunes.,Misc,,"Iron Bar (2) Battery Pack (1), Gus 5-Heart Event, 1x1",,
Shipping Bin,Throw items inside to sell them overnight.,building,250,"Wood (150), 2x1",,
Mayonnaise Machine,Turns eggs into mayonnaise.,equipment,,"Wood (15), Stone (15), Earth Crystal (1), Copper Bar (1), Farming 3, 1x1",,
Bee House,Place outside and wait for delicious honey! (Except in Winter).,equipment,,"Wood (40), Coal (8), Iron Bar (1), Maple Syrup (1), Farming 5, 1x1",,
Preserves Jar,Turns vegetables into pickles and fruit into jam.,equipment,,"Wood (50), Stone (40), Coal (8), Farming 4, 1x1",,
Cheese Press,Turns milk into cheese.,equipment,,"Wood (45), Stone (45), Hardwood (10), Copper Bar (1), Farming 6, 1x1",,
Loom,Turns raw wool into fine cloth.,equipment,,"Wood (60), Fiber (30), Pine Tar (1), Farming 7, 1x1",,
Keg,Place a fruit or vegetable in here. Eventually it will turn into a beverage.,equipment,,"Wood (30), Copper Bar (1), Iron Bar (1), Oak Resin (1), Farming 8, 1x1",,
Oil Maker,Makes gourmet truffle oil.,equipment,,"Slime (50), Hardwood (20), Gold Bar (1), Farming 7, 1x1",,
Cask,Use in the cellar to age products like wine and cheese.,equipment,,"Wood (20), Hardwood (1), 1x1",,
Junimo Hut,Junimos will harvest crops around the hut for you.,building,20000,"Stone (200), Starfruit (9), Fiber (100), 3x2",,
Gold Clock,Fences and paths stop falling apart on the Farm.,building,10000000,"Wizard, 3x2",,
Water Obelisk,Warps you to Beach.,building,1000000,"Iridium Bar (5), Clam (10), Coral (10), 3x2",,
Earth Obelisk,Warps you to the Mountain.,building,1000000,"Iridium Bar (10), Earth Crystal (10), 3x2",,
Desert Obelisk,Warps you to Desert.,building,1000000,"Iridium Bar (20), Coconut (10), Cactus Fruit (10), 3x2",,
Copper Hoe,Clint,tool,2000,"Copper Bar (5), 1x3",,
Steel Hoe,Clint,tool,5000,"Iron Bar (5), 1x5",,
Gold Hoe,Clint,tool,10000,"Gold Bar (5), 3x3",,
Iridium Hoe,Clint,tool,25000,"Iridium Bar (5), 3x6",,
Copper Axe,Clint,tool,2000,"Copper Bar (5), 12, Pine Tree, Oak Tree, Maple Tree, Palm Tree",,
Steel Axe,Clint,tool,5000,"Iron Bar (5), 9, Pine Tree, Oak Tree, Maple Tree, Palm Tree",,
Gold Axe,Clint,tool,10000,"Gold Bar (5), 6, Pine Tree, Oak Tree, Maple Tree, Palm Tree",,
Iridium Axe,Clint,tool,25000,"Iridium Bar (5), 3, Pine Tree, Oak Tree, Maple Tree, Palm Tree",,
Copper Pickaxe,Clint,tool,2000,"Copper Bar (5), 2",,
Steel Pickaxe,Clint,tool,5000,"Iron Bar (5), 3",,
Gold Pickaxe,Clint,tool,10000,"Gold Bar (5), 4",,
Iridium Pickaxe,Clint,tool,25000,"Iridium Bar (5), 5",,
Copper Pan,Willy,tool,,"Night Fishing Bundle, Lake Fishing Bundle, Ocean Fishing Bundle, River Fishing Bundle, Exotic Fishing Bundle, Crab Pot Bundle",,
Golden Scythe,Quarry,tool,,Quarry Mine,,
Training Rod,Willy,tool,25,"fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper",,
Bamboo Pole,Willy,tool,500,"fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper",,
Fiberglass Rod,Willy,tool,1800,"fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper",,
Iridium Rod,Willy,tool,7500,"fish, Seaweed, Green Algae, Driftwood, Broken CD, Soggy Newspaper",,
Crab Pot,Willy,equipment,1500,"Mussel, Oyster, Crab, Lobster, Periwinkle, Crawfish, Trash, Driftwood, Broken CD, Iron Bar, Copper Bar, Wood, 1x1",,
Milk Pail,Marnie,tool,1000,"Milk, Large Milk, Goat Milk, Lg. Goat Milk",,
Shears,Marnie,tool,1000,Wool,,
Heater,Marnie,equipment,2000,"Barn, Big Barn, Deluxe Barn, Coop, Big Coop, Deluxe Coop, 1x1",,
Auto-Grabber,Marnie,equipment,25000,"Milk, Large Milk, Goat Milk, Lg. Goat Milk, White Egg, Brown Egg, Dinosaur Egg, Duck Feather, Wool, Rabbit's Foot, 1x1",,
Wood,Wood,resource,1,resource,,
Stone,Stone,resource,2,resource,,
Fiber,Fiber,resource,1,resource,,
Clay,Clay,resource,2,resource,,
Seaweed,Seaweed,resource,5,resource,,
Green Algae,Green Algae,resource,5,resource,,
White Algae,White Algae,resource,10,resource,,
Slime,Slime,loot,1,resource,,
Hardwood,Hardwood,resource,2,resource,,
Coal,Coal,resource,2,"Mines, Farm, Mountain, Forest, forageable, resource",,
Quartz,Quartz,resource,5,"forageable, mineral",,
Earth Crystal,Earth Crystal,resource,25,"forageable, mineral",,
Copper Ore,Copper Ore,resource,5,resource,,
Iron Ore,Iron Ore,resource,10,resource,,
Gold Ore,Gold Ore,resource,25,resource,,
Iridium Ore,Iridium Ore,resource,50,resource,,
Copper Bar,Copper Bar,resource,100,resource,,
Iron Bar,Iron Bar,resource,200,resource,,
Gold Bar,Gold Bar,resource,300,resource,,
Iridium Bar,Iridium Bar,resource,500,resource,,
Refined Quartz,Refined Quartz,resource,5,resource,,
Bat Wing,Bat Wing,loot,15,monster loot,,
Void Essence,Void Essence,loot,25,resource,,
Solar Essence,Solar Essence,loot,25,resource,,
Hay,Hay,resource,1,resource,,
Sap,Sap,resource,2,"oak tree, pine tree, maple tree",,
Mixed Seeds,Mixed Seeds,seed,1,"Farm, Town, Mines, Forest, Secret Woods, Beach, forageable",,
Pine Cone,fastest growing tree,seed,1,"forageable, seed, pine tree",,
Acorn,sometimes becomes flour,seed,1,"forageable, seed, oak tree",,
Maple Seed,slowest growing tree,seed,1,"forageable, seed, maple tree",,
Quartz,A clear crystal commonly found in caves and mines.,mineral,25,"forageable, Geologist's Bundle, Refined Quartz, Mines, Garbage Can",,
Earth Crystal,A resinous substance found near the surface.,mineral,50,"forageable, Geologist's Bundle, Mayonnaise Machine, Sturdy Ring, Mines (1-39), Duggy (10%) Fishing, Treasure Chest, Panning, Geode, Omni Geode, Garbage Can",,
Frozen Tear,A crystal fabled to be the frozen tears of a yeti.,mineral,75,"forageable, Geologist's Bundle, Warrior Ring, Sebastian, Mines (40-79), Fishing Treasure Chest, Panning, Frozen Geode, Omni Geode, Dust Sprite (2%), Garbage Can",,
Fire Quartz,A glowing red crystal commonly found near hot lava.,mineral,100,"forageable, Geologist's Bundle, Slime Egg-Press, Refined Quartz, Mines (80-120) Fishing, Treasure Chest, Panning, Magma Geode, Omni Geode, Garbage Can",,
Emerald,A precious stone with a brilliant green color.,gem,250,"Emerald Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star, Clint, Dwarf, Emily, Penny, Emerald Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star",,
Aquamarine,A shimmery blue-green gem.,gem,180,"Aquamarine Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Dye Bundle, Clint, Dwarf, Emily, Marble Brazier, Aquamarine Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest",,
Ruby,A precious stone that is sought after for its rich color and beautiful luster.,gem,250,"Ruby Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star, Clint, Dwarf, Emily, Ruby Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star",,
Amethyst,A purple variant of quartz.,gem,100,"Amethyst Node, Gem Node, Green Slimes Panning, Garbage Can, Fishing Treasure Chest, Abigail, Clint, Dwarf, Emily, Amethyst Node, Gem Node, Green Slimes Panning, Garbage Can, Fishing Treasure Chest",,
Topaz,Fairly common but still prized for its beauty.,gem,80,"Topaz Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Clint, Dwarf, Emily, Topaz Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest",,
Jade,A pale green ornamental stone.,gem,200,"Jade Node, Gem Node, Blue Slimes Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star, Clint, Dwarf, Emily, Jade Node, Gem Node, Blue Slimes Panning, Garbage Can, Fishing Treasure Chest, Feast of the Winter Star",,
Diamond,A rare and valuable gem.,gem,750,"Diamond Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Any monster after reaching the bottom of Mines (0.05%), Ring of Yoba, Evelyn, Gus, Jodi, Krobus, Marnie, Maru, Penny, Willy, Diamond Node, Gem Node, Panning, Garbage Can, Fishing Treasure Chest, Any monster after reaching the bottom of Mines (0.05%)",,
Prismatic Shard,A very rare and powerful substance with unknown origins.,gem,2000,"Iridium Node, (4%), Mystic Stone (25%), Gem Node, Omni Geode, (0.4%), Shadow Brute (0.05%), Shadow Shaman (0.05%), Mummy (0.1%), Serpent (0.1%), Fishing Treasure Chest, All Villagers except Haley, Obtain the Galaxy Sword in the Desert, Transform children into doves at the Dark Shrine of Selfishness, Iridium Node, (4%), Mystic Stone (25%), Gem Node, Omni Geode, (0.4%), Shadow Brute (0.05%), Shadow Shaman (0.05%), Mummy (0.1%), Serpent (0.1%), Fishing Treasure Chest, Any monster after reaching the bottom of Mines (0.05%)",,
Tigerseye,A stripe of shimmering gold gives this gem a warm luster.,mineral,275,"Sam, Magma Geode, Omni Geode",,
Opal,Its internal structure causes it to reflect a rainbow of light.,mineral,150,"Frozen Geode, Omni Geode",,
Fire Opal,"A rare variety of opal, named for its red spots.",mineral,350,"Magma Geode, Omni Geode",,
Alamite,Its distinctive fluorescence makes it a favorite among rock collectors.,mineral,150,"Geode, Omni Geode",,
Bixite,A dark metallic Mineral sought after for its cubic structure.,mineral,300,"Magma Geode, Omni Geode, Black Slime",,
Baryte,The best specimens resemble a desert rose.,mineral,50,"Magma Geode, Omni Geode",,
Aerinite,These crystals are curiously light.,mineral,125,"Frozen Geode, Omni Geode",,
Calcite,This yellow crystal is speckled with shimmering nodules.,mineral,75,"Geode, Omni Geode",,
Dolomite,"It can occur in coral reefs, often near an underwater volcano.",mineral,300,"Magma Geode, Omni Geode",,
Esperite,The crystals glow bright green when stimulated.,mineral,100,"Frozen Geode, Omni Geode",,
Fluorapatite,Small amounts are found in human teeth.,mineral,200,"Frozen Geode, Omni Geode",,
Geminite,Occurs in brilliant clusters.,mineral,150,"Frozen Geode, Omni Geode",,
Helvite,It grows in a triangular column.,mineral,450,"Magma Geode, Omni Geode",,
Jamborite,The crystals are so tightly packed it almost looks fuzzy.,mineral,150,"Geode, Omni Geode",,
Jagoite,A high volume of tiny crystals makes it very glittery.,mineral,115,"Geode, Omni Geode",,
Kyanite,The geometric faces are as smooth as glass.,mineral,250,"Frozen Geode, Omni Geode",,
Lunarite,The cratered white orbs form a tight cluster.,mineral,200,"Frozen Geode, Omni Geode",,
Malachite,"A popular ornamental stone, used in sculpture and to make green paint.",mineral,100,"Geode, Omni Geode",,
Neptunite,A jet-black crystal that is unusually reflective.,mineral,400,"Magma Geode, Omni Geode, Black Slime",,
Lemon Stone,Some claim the powdered crystal is a dwarvish delicacy.,mineral,200,"Dwarf, Magma Geode, Omni Geode",,
Nekoite,The delicate shards form a tiny pink meadow.,mineral,80,"Geode, Omni Geode",,
Orpiment,"Despite its high toxicity, this Mineral is widely used in manufacturing and folk medicine.",mineral,80,"Geode, Omni Geode",,
Petrified Slime,"This little guy may be 100,000 years old.",mineral,120,"Geode, Omni Geode, Slime Ball",,
Thunder Egg,"According to legend, angry thunder spirits would throw these stones at one another.",mineral,100,"Geode, Omni Geode",,
Pyrite,"Commonly known as ""Fool's Gold"".",mineral,120,"Frozen Geode, Omni Geode",,
