templateKey,title,description,type,sellPrice,tags,energy,health
blog-post,Rice Pudding,"It's creamy,  sweet,  and fun to eat. ",cooking,260,"Milk, Sugar, Rice, edible",115,51
blog-post,Ice Cream,It's hard to find someone who doesn't like this. ,cooking,120,"Milk, Sugar, edible",100,45
blog-post,Blueberry Tart,It's subtle and refreshing. ,cooking,150,"Blueberry, Wheat Flour, Sugar, Egg, edible",125,56
blog-post,Autumn's Bounty,A taste of the season. ,cooking,350,"Yam, Pumpkin, edible",220,99
blog-post,Pumpkin Soup,A seasonal favorite. ,cooking,300,"Pumpkin, Milk, edible",200,90
blog-post,Super Meal,It's a really energizing meal. ,cooking,220,"Bok Choy, Cranberries, Artichoke, edible",160,72
blog-post,Cranberry Sauce,A festive treat. ,cooking,120,"Cranberries, Sugar, edible",125,56
blog-post,Stuffing,Ahh... the smell of warm bread and sage. ,cooking,165,"Bread, Cranberries, Hazelnut, edible",170,76
blog-post,Farmer's Lunch,This'll keep you going. ,cooking,150,"Omelet, Parsnip, edible",200,90
blog-post,Survival Burger,A convenient snack for the explorer. ,cooking,180,"Bread, Cave Carrot, Eggplant, edible",125,56
blog-post,Dish O' The Sea,This'll keep you warm in the cold sea air. ,cooking,220,"Sardine, Hashbrowns, edible",125,56
blog-post,Miner's Treat,This should keep your energy up. ,cooking,200,"Cave Carrot, Sugar, Milk, edible",125,56
blog-post,Roots Platter,This'll get you digging for more. ,cooking,100,"Cave Carrot, Winter Root, edible",125,56
blog-post,Algae Soup,It's a little slimy. ,cooking,100,"Green Algae, edible",75,33
blog-post,Pale Broth,A delicate broth with a hint of sulfur. ,cooking,150,"White Algae, edible",125,56
blog-post,Plum Pudding,A traditional holiday treat. ,cooking,260,"Wild Plum, Wheat Flour, Sugar, edible",175,78
blog-post,Artichoke Dip,It's cool and refreshing. ,cooking,210,"Artichoke, Milk, edible",100,45
blog-post,Stir Fry,Julienned vegetables on a bed of rice. ,cooking,335,"Cave Carrot, Common Mushroom, Kale, Oil, edible",200,90
blog-post,Roasted Hazelnuts,The roasting process creates a rich forest flavor. ,cooking,270,"Hazelnut, edible",175,78
blog-post,Pumpkin Pie,Silky pumpkin cream in a flakey crust. ,cooking,385,"Pumpkin, Wheat Flour, Milk, Sugar, edible",225,101
blog-post,Radish Salad,The radishes are so crisp! ,cooking,300,"Oil, Vinegar, Radish, edible",200,90
blog-post,Fruit Salad,A delicious combination of summer fruits. ,cooking,450,"Blueberry, Melon, Apricot, edible",263,118
blog-post,Blackberry Cobbler,There's nothing quite like it. ,cooking,260,"Blackberry, Sugar, Wheat Flour, edible",175,78
blog-post,Cranberry Candy,It's sweet enough to mask the bitter fruit. ,cooking,175,"Cranberries, Apple, Sugar, edible",125,56
blog-post,Bruschetta,Roasted tomatoes on a crisp white bread. ,cooking,210,"Bread, Oil, Tomato, edible",113,50
blog-post,Coleslaw,"It's light,  fresh and very healthy. ",cooking,345,"Red Cabbage, Vinegar, Mayonnaise, edible",213,95
blog-post,Fiddlehead Risotto,A creamy rice dish served with sauteed fern heads. It's a little bland. ,cooking,350,"Oil, Fiddlehead Fern, Garlic, edible",225,101
blog-post,Poppyseed Muffin,It has a soothing effect. ,cooking,250,"Poppy, Wheat Flour, Sugar, edible",150,67
blog-post,Chowder,A perfect way to warm yourself after a cold night at sea. ,cooking,135,"Clam, Milk, edible",225,101
blog-post,Lobster Bisque,This delicate soup is a secret family recipe of Willy's. ,cooking,205,"Lobster, Milk, edible",225,101
blog-post,Escargot,Butter-soaked snails cooked to perfection. ,cooking,125,"Snail, Garlic, edible",225,101
blog-post,Fish Stew,"It smells a lot like the sea. Tastes better,  though. ",cooking,175,"Crayfish, Mussel, Periwinkle, Tomato, edible",225,101
blog-post,Maple Bar,It's a sweet doughnut topped with a rich maple glaze. ,cooking,300,"Maple Syrup, Sugar, Wheat Flour, edible",225,101
blog-post,Crab Cakes,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown. ",cooking,275,"Crab, Wheat Flour, Egg, Oil, edible",225,101
